Resolved live-internal.fivem.net:30110 to 178.32.9.100:30110
Creating script environments for _cfx_internal
Found new resource NativeUI in /home/ogp_agent/OGP_User_Files/V2/resources//NativeUI
Found new resource copnotify in /home/ogp_agent/OGP_User_Files/V2/resources//copnotify
Found new resource loadipl in /home/ogp_agent/OGP_User_Files/V2/resources//loadipl
Found new resource police in /home/ogp_agent/OGP_User_Files/V2/resources//police
Found new resource bob74_ipl.bak in /home/ogp_agent/OGP_User_Files/V2/resources//bob74_ipl.bak
Found new resource esx_addons_gcphone in /home/ogp_agent/OGP_User_Files/V2/resources//esx_addons_gcphone
Found new resource vMenu in /home/ogp_agent/OGP_User_Files/V2/resources//vMenu
Found new resource esx_jb_weashops in /home/ogp_agent/OGP_User_Files/V2/resources//esx_jb_weashops
Found new resource fivem-ipl.bak in /home/ogp_agent/OGP_User_Files/V2/resources//fivem-ipl.bak
Found new resource fivem-awesome1501 in /home/ogp_agent/OGP_User_Files/V2/resources//fivem-awesome1501
Found new resource bob74_ipl in /home/ogp_agent/OGP_User_Files/V2/resources//bob74_ipl
Found new resource fivemqueue in /home/ogp_agent/OGP_User_Files/V2/resources//fivemqueue
Found new resource starPursuit in /home/ogp_agent/OGP_User_Files/V2/resources//starPursuit
Found new resource fivem-ipl in /home/ogp_agent/OGP_User_Files/V2/resources//fivem-ipl
Found new resource ipl in /home/ogp_agent/OGP_User_Files/V2/resources//ipl
Found new resource runcode in /home/ogp_agent/OGP_User_Files/V2/resources//runcode
Found new resource fivem-map-hipster in /home/ogp_agent/OGP_User_Files/V2/resources//fivem-map-hipster
Found new resource fivem-map-skater in /home/ogp_agent/OGP_User_Files/V2/resources//fivem-map-skater
Found new resource gcphone in /home/ogp_agent/OGP_User_Files/V2/resources//gcphone
Found new resource lifetraffic in /home/ogp_agent/OGP_User_Files/V2/resources//lifetraffic
Found new resource fivem in /home/ogp_agent/OGP_User_Files/V2/resources//fivem
Found new resource playernames in /home/ogp_agent/OGP_User_Files/V2/resources//[gameplay]/playernames
Found new resource obituary in /home/ogp_agent/OGP_User_Files/V2/resources//[gameplay]/obituary
Found new resource obituary-deaths in /home/ogp_agent/OGP_User_Files/V2/resources//[gameplay]/obituary-deaths
Found new resource irc in /home/ogp_agent/OGP_User_Files/V2/resources//[gameplay]/irc
Found new resource NoReticle in /home/ogp_agent/OGP_User_Files/V2/resources//[gameplay]/NoReticle
Found new resource channelfeed in /home/ogp_agent/OGP_User_Files/V2/resources//[gameplay]/channelfeed
Found new resource keks in /home/ogp_agent/OGP_User_Files/V2/resources//[test]/keks
Found new resource betaguns in /home/ogp_agent/OGP_User_Files/V2/resources//[test]/betaguns
Found new resource gameInit in /home/ogp_agent/OGP_User_Files/V2/resources//[test]/gameInit
Found new resource chat-theme-gtao in /home/ogp_agent/OGP_User_Files/V2/resources//[system]/chat-theme-gtao
Found new resource spawnmanager in /home/ogp_agent/OGP_User_Files/V2/resources//[system]/spawnmanager
Found new resource rconlog in /home/ogp_agent/OGP_User_Files/V2/resources//[system]/rconlog
Found new resource hardcap in /home/ogp_agent/OGP_User_Files/V2/resources//[system]/hardcap
Found new resource baseevents in /home/ogp_agent/OGP_User_Files/V2/resources//[system]/baseevents
Found new resource scoreboard in /home/ogp_agent/OGP_User_Files/V2/resources//[system]/scoreboard
Found new resource chat in /home/ogp_agent/OGP_User_Files/V2/resources//[system]/chat
Found new resource sessionmanager in /home/ogp_agent/OGP_User_Files/V2/resources//[system]/sessionmanager
Found new resource esx_basicneeds in /home/ogp_agent/OGP_User_Files/V2/resources//[ESSENTIAL]/esx_basicneeds
Found new resource esx_whitelist in /home/ogp_agent/OGP_User_Files/V2/resources//[ESSENTIAL]/esx_whitelist
Found new resource voicechat in /home/ogp_agent/OGP_User_Files/V2/resources//[ESSENTIAL]/voicechat
Found new resource PvP in /home/ogp_agent/OGP_User_Files/V2/resources//[ESSENTIAL]/PvP
Found new resource esplugin_mysql in /home/ogp_agent/OGP_User_Files/V2/resources//[ESSENTIAL]/esplugin_mysql
Found new resource essentialmode.bak in /home/ogp_agent/OGP_User_Files/V2/resources//[ESSENTIAL]/essentialmode.bak
Found new resource esx_addoninventory in /home/ogp_agent/OGP_User_Files/V2/resources//[ESSENTIAL]/esx_addoninventory
Found new resource knockout in /home/ogp_agent/OGP_User_Files/V2/resources//[ESSENTIAL]/knockout
Found new resource async in /home/ogp_agent/OGP_User_Files/V2/resources//[ESSENTIAL]/async
Found new resource progressBars in /home/ogp_agent/OGP_User_Files/V2/resources//[ESSENTIAL]/progressBars
Found new resource mysql-async in /home/ogp_agent/OGP_User_Files/V2/resources//[ESSENTIAL]/mysql-async
Found new resource cron in /home/ogp_agent/OGP_User_Files/V2/resources//[ESSENTIAL]/cron
Found new resource esx_accessories in /home/ogp_agent/OGP_User_Files/V2/resources//[ESSENTIAL]/esx_accessories
